Nael Abu-Ghazaleh,UC Riverside
Almutaz Adileh,Huawei
Shoaib Akram,ANU
Alaa Alameldeen,Intel
Murali Annavaram,USC
Rachata Ausavarungnirun,KMUTNB
Amro Awad,UCF
Mario Badr,Toronto
Jonathan Balkind,Princeton
Arka Basu,IISc
Chris Batten,Cornell
Scott Beamer,UC Santa Cruz
Brad Beckmann,AMD
Koen Bertels,TU Delft
Ricardo Bianchini,Microsoft
David Black-Schaffer,Uppsala
Trey Cain,Marvell
Ramon Canal,UPC
John Carter,IBM
Haibo Chen,Shanghai Jiao Tong
Lizhong Chen,Oregon State
Yunji Chen,ICT
Derek Chiou,MicrosoftUT Austin
Sangyeun Cho,Samsung
Frederic Chong,Chicago
Esha Choukse,Microsoft
Jason Clemons,NVIDIA
Caroline Collange,INRIA
Alexandros Daglis,GATech
Chita Das,Penn State
Christina Delimitrou,Cornell
Joe Devietti,UPenn
Sandhya Dwarkadas,Rochester
Eiman Ebrahimi,NVIDIA
Yasuko Eckert,AMD
Stijn Eyerman,Intel
Paolo Faraboschi,HP
Josue Feliu,UPV
Mike Ferdman,Stony Brook
Jayesh Gaur,Intel
Saugata Ghose,CMU
Dimitris Gizopoulos,University of Athens
Vaibhav Gogte,Michigan
Dibakar Gope,Arm Research
Bhargava Gopireddy,NVIDIA
Paul Gratz,TAMU
Boris Grot,Edinburgh
Sudhanva Gurumurthi,AMDVirginia
Nikos Hardavellas,Northwestern
Wim Heirman,Intel
Mark Hempstead,Tufts
Andrew Hilton,Duke
Mark Hill,Wisconsin
James Hoe,CMU
Yang Hu,UT Dallas
Yu Hua,HUST
Yipeng Huang,Princeton
Jian Huang,UIUC
Koji Inoue,Kyushu
Engin Ipek,Rochester
Ravi Iyer,Intel
Akanksha Jain,UT Austin
Xun Jian,Virginia Tech
Jose Joao,Arm Research
Adwait Jog,William & Mary
Timothy Jones,Cambridge
Russ Joseph,Northwestern
Norm Jouppi,Google
Steve Keckler,NVIDIA
Samira Khan,Virginia
Omer Khan,Connecticut
Daehyun Kim,Samsung
Jagadish Kotra,AMD Research
Rakesh Kumar,NTNU
Benjamin Lee,Duke
Jae W. Lee,SNU
Ruby Lee,Princeton
Ang Li,Pacific Northwest
Chao Li,Shanghai Jiao Tong
Yanjing Li,Chicago
Mikko Lipasti,Wisconsin
Qiuyun Llull,Google
Pejman Lotfi-Kamran,IPM
Jason Lowe-Power,UC Davis
Shih-Lien Lu,TSMC
Brandon Lucia,CMU
Andrew Lukefahr,Indiana
Dmitri Maslov,IBM
Martin Maas,Google
Srilatha Manne,Microsoft
Gokhan Memik,Northwestern
Pierre Michaud,INRIA
Simon Moore,Cambridge
Abdullah Muzahid,Texas A&M
Prashant Nair,UBC
Ravi Nair,IBM Research
Vijaykrishnan Narayanan,Penn State
Satish Narayanasamy,Michigan
Nikos Nikoleris,Arm Research
Emre Ozer,Arm
Angshuman Parashar,NVIDIA
Li-Shiuan Peh,NUS
Gennady Pekhimenko,Toronto
Michael Pellauer,NVIDIA
Arthur Perais,Microsoft
Timothy Pinkston,USC
Dionisios Pnevmatikatos,FORTHTU Crete
Dmitry Ponomarev,Binghamton
Xuehai Qian,USC
Brandon Reagen,Facebook
Steve Reinhardt,Microsoft
Won Woo Ro,Yonsei
Tim Rogers,Purdue
Eric Rotenberg,NC State
Adrian Sampson,Cornell
Daniel Sanchez,MIT
Karu Sankaralingam,Wisconsin
John Sartori,Minnesota
Yanos Sazeides,Cyprus
Vivek Seshadri,Microsoft Research
James Smith,Wisconsin
Yan Solihin,UCF
Shuaiwen Song,University of Sydney
Niranjan Soundararajan,Intel
Shreesha Srinath,Esperanto
Per Stenstrom,Chalmers
Jeff Stuecheli,IBM
Lavanya Subramanian,Facebook
Xulong Tang,Pittsburgh
Swamit Tannu,GATech
Radu Teodorescu,Ohio State
Mohit Tiwari,UTAustin
Josep Torrellas,UIUC
Hung-Wei Tseng,UC Riverside
James Tuck,NC State
Georgios Tziantzioulis,Princeton
Guru Vankataramani,GWU
Dana Vantrease,Amazon
Paul Whatmough,Arm Research
Lisa Wu,Duke
Jun Yang,Pittsburgh
Chia-Lin Yang,National Taiwan University
Vinson Young,Microsoft
Zhibin Yu,SIAT
Xia Zhao,NUDT
Huiyang Zhou,NC State
